"","gene","combined_p_val"
"3793","Heg1",NA
"3794","Nedd9",NA
"3795","Fam107b",NA
"3796","Akap14",NA
"3797","Sorbs1",NA
"3798","Rnf32",NA
"3799","Cc2d2a",NA
"3800","Laptm4a",NA
"3801","Ntrk2",NA
"3802","Dnajc6",NA
"3803","Ikzf2",NA
"3804","Cpq",NA
"3805","Sned1",NA
"3806","Ablim1",NA
"3807","Kif26b",NA
"3808","Tbcel",NA
"3809","Srgap3",NA
"3810","Oxr1",NA
"3811","Rev3l",NA
"3812","Diaph3",NA
"3813","Anapc1",NA
"3814","Phactr4",NA
"3815","Mettl24",NA
"3816","Il6st",NA
"3817","Nxpe4",NA
"3818","Creb5",NA
"3819","Slc1a3",NA
"3820","Bcar3",NA
"3821","Zfp704",NA
"3822","Ankrd42",NA
"3823","Cspp1",NA
"3824","Zfp395",NA
"3825","Kyat3",NA
"3826","Fam126a",NA
"3827","Ttyh2",NA
"3828","Ptar1",NA
"3829","Megf9",NA
"3830","Esrrg",NA
"3831","Msi1",NA
"3832","Efcab2",NA
"3833","Grik4",NA
"3834","Sfxn5",NA
"3835","Ccdc157",NA
"3836","Plcd4",NA
"3837","Mipep",NA
"3838","Ptprz1",NA
"3839","Ralgps2",NA
"3840","Gmds",NA
"3841","Nrbp2",NA
"3842","Pxn",NA
"3843","Stox2",NA
"3844","Sash1",NA
"3845","Uhrf1bp1",NA
"3846","Aldh1l1",NA
"3847","Osbpl3",NA
"3848","Eya4",NA
"3849","Trps1",NA
"3850","Crim1",NA
"3851","N4bp2",NA
"3852","Fam13a",NA
"3853","Gm11266",NA
"3854","Aff1",NA
"3855","Sparcl1",NA
"3856","Gsr",NA
"3857","Nudc",NA
"3858","Ift57",NA
"3859","Klhl32",NA
"3860","Timp2",NA
"3861","Myh9",NA
"3862","Lgr4",NA
"3863","Gm5089",NA
"3864","Eea1",NA
"3865","Prickle2",NA
"3866","Pbx4",NA
"3867","Tmem67",NA
"3868","Kcnj10",NA
"3869","Pbx1",NA
"3870","Wdr60",NA
"3871","Ube2e2",NA
"3872","Pakap.1",NA
"3873","Arhgap39",NA
"3874","Cep89",NA
"3875","Sipa1l2",NA
"3876","Crem",NA
"3877","Casd1",NA
"3878","Rab36",NA
"3879","Arhgap42",NA
"3880","Zfpm2",NA
"3881","Gm10138",NA
"3882","D3Ertd751e",NA
"3883","Ckap5",NA
"3884","Fam184a",NA
"3885","Mtus2",NA
"3886","Itgb8",NA
"3887","Strbp",NA
"3888","Cflar",NA
"3889","Gpr37l1",NA
"3890","Cd63",NA
"3891","Mt1",NA
"3892","Dnajc15",NA
"3893","Cmtm4",NA
"3894","Bcl2",NA
"3895","Slf1",NA
"3896","Mettl15",NA
"3897","Rabl2",NA
"3898","Rbms1",NA
"3899","Esyt2",NA
"3900","Bcl9",NA
"3901","Gsn",NA
"3902","Sugct",NA
"3903","Foxo1",NA
"3904","Gm44899",NA
"3905","Pitpnc1",NA
"3906","Enah",NA
"3907","Crocc",NA
"3908","Etfa",NA
"3909","Efhc2",NA
"3910","Mtss1",NA
"3911","Ppm1e",NA
"3912","Stxbp4",NA
"3913","Gab1",NA
"3914","D430042O09Rik",NA
"3915","Trak1",NA
"3916","Clmn",NA
"3917","Arl13b",NA
"3918","Nubpl",NA
"3919","Cpe",NA
"3920","Ift80",NA
"3921","Lmln",NA
"3922","Cep290",NA
"3923","Tgfbr3",NA
"3924","Fmn2",NA
"3925","Ubxn11",NA
"3926","St6gal1",NA
"3927","Chst11",NA
"3928","Aopep",NA
"3929","Lgi1",NA
"3930","Cds1",NA
"3931","Mtus1",NA
"3932","Rrbp1",NA
"3933","Csmd1",NA
"3934","Gfod2",NA
"3935","R3hcc1l",NA
"3936","Ttc8",NA
"3937","Pygb",NA
"3938","Xpnpep3",NA
"3939","Carmil1",NA
"3940","Nfatc2",NA
"3941","Tpk1",NA
"3942","Map3k20",NA
"3943","Itm2c",NA
"3944","Gm46218",NA
"3945","Tjp2",NA
"3946","St8sia1",NA
"3947","Ccdc151",NA
"3948","Apoe",NA
"3949","Rps14",NA
"3950","Sema6a",NA
"3951","Anks1",NA
"3952","Rpgr",NA
"3953","Dixdc1",NA
"3954","Hepacam",NA
"3955","Tnfrsf19",NA
"3956","Irs2",NA
"3957","Wwc2",NA
"3958","Gm26777",NA
"3959","Notch2",NA
"3960","Jmjd1c",NA
"3961","Chordc1",NA
"3962","Hsp90aa1",NA
"3963","Evi5",NA
"3964","Kank1",NA
"3965","Gli3",NA
"3966","Chchd6",NA
"3967","Atp2b4",NA
"3968","Clybl",NA
"3969","Hdac4",NA
"3970","Dzip1l",NA
"3971","Samd4",NA
"3972","Ptprm",NA
"3973","Sdk2",NA
"3974","Spata7",NA
"3975","Myo10",NA
"3976","Vldlr",NA
"3977","Nin",NA
"3978","St6galnac3",NA
"3979","Etv6",NA
"3980","Nfkb1",NA
"3981","Wls",NA
"3982","Ttc26",NA
"3983","Unc13c",NA
"3984","Coq8b",NA
"3985","Pou6f1",NA
"3986","Cuedc1",NA
"3987","Oscp1",NA
"3988","Ndst1",NA
"3989","Alms1",NA
"3990","Mllt3",NA
"3991","Gm14966",NA
"3992","Abhd3",NA
"3993","Frmd6",NA
"3994","Mapk10",NA
"3995","Afg1l",NA
"3996","4930444A19Rik",NA
"3997","Tmcc3",NA
"3998","Mir670hg",NA
"3999","Zc2hc1a",NA
"4000","Swt1",NA
"4001","Hrk",NA
"4002","Fgd4",NA
"4003","Nr2f1",NA
"4004","Cacna1d",NA
"4005","Tnrc18",NA
"4006","Slc39a9",NA
"4007","Bcl2l1",NA
"4008","Slc38a6",NA
"4009","Kremen1",NA
"4010","Cep162",NA
"4011","Gm1715",NA
"4012","Usp24",NA
"4013","Bbs7",NA
"4014","Dpyd",NA
"4015","Airn",NA
"4016","Pcnx4",NA
"4017","Pibf1",NA
"4018","Cdr1os",NA
"4019","Setd7",NA
"4020","Ophn1",NA
"4021","Zfp608",NA
"4022","Usp6nl",NA
"4023","Aig1",NA
"4024","Dst",NA
"4025","Ccser1",NA
"4026","Tcf7l1",NA
"4027","Vti1a",NA
"4028","Magi1",NA
"4029","Tox2",NA
"4030","Cfap20",NA
"4031","Tor1aip1",NA
"4032","Tpm1",NA
"4033","E130308A19Rik",NA
"4034","Mrps6",NA
"4035","Ift140",NA
"4036","Ttl",NA
"4037","Luzp1",NA
"4038","Amotl1",NA
"4039","Trim37",NA
"4040","Cep164",NA
"4041","Micu1",NA
"4042","Slc22a23",NA
"4043","Akap13",NA
"4044","Peli2",NA
"4045","Rnf144b",NA
"4046","Atp2a2",NA
"4047","Spats2l",NA
"4048","Ccdc62",NA
"4049","Ski",NA
"4050","Hist1h2be",NA
"4051","Akap9",NA
"4052","Chpt1",NA
"4053","Kirrel",NA
"4054","Ahdc1",NA
"4055","Gabrb1",NA
"4056","Trip4",NA
"4057","Ppp3cc",NA
"4058","Tspan9",NA
"4059","2610035D17Rik",NA
"4060","Ccdc34",NA
"4061","Gm11944",NA
"4062","Rgl1",NA
"4063","Traf3",NA
"4064","Umad1",NA
"4065","Sntg2",NA
"4066","Wdfy2",NA
"4067","Rapgef2",NA
"4068","Hipk3",NA
"4069","Fryl",NA
"4070","Fbxl7",NA
"4071","Ttc9",NA
"4072","Wars2",NA
"4073","Hspa12a",NA
"4074","Ramp1",NA
"4075","Kdm7a",NA
"4076","Sipa1l3",NA
"4077","Susd6",NA
"4078","Synpr",NA
"4079","Stim1",NA
"4080","Atxn7",NA
"4081","Trmt1l",NA
"4082","Myo16",NA
